,ridge_price_eur_mwh,gbm_price_eur_mwh,operational_price_eur_mwh,gas_estimated_mw,solar_estimated_mw,wind_estimated_mw,dam_share_gas_pct,dam_share_solar_pct,dam_share_wind_pct,gas_ttf_eur_per_mwh,carbon_eua_eur_per_t
2026-04-30 00:00:00,125.69142635452081,134.92351611761856,125.69142635452081,2438.436956368027,0.0,856.8028614057453,62.046741892316206,0.0,21.801599526863747,32.771934067365464,75.09900221404452
2026-04-30 00:15:00,116.12218756693059,126.01318050980426,116.12218756693059,2413.5536031150837,0.0,849.6052197266848,61.41357768740671,0.0,21.61845342815992,32.771934067365464,75.09900221404452
2026-04-30 00:30:00,114.07662673942912,128.1158863306678,114.07662673942912,2387.5137556295354,0.0,842.7247722427834,60.750986148334235,0.0,21.443378428569552,32.771934067365464,75.09900221404452
2026-04-30 00:45:00,111.2991366921551,124.18276318983976,111.2991366921551,2366.3520774096464,0.0,838.0549641343376,60.21252105368057,0.0,21.32455379476686,32.771934067365464,75.09900221404452
2026-04-30 01:00:00,112.88556927498087,121.78115008432981,112.88556927498087,2341.9586429818987,0.0,827.3920407179592,62.120918911986706,0.0,21.94673848058247,32.771934067365464,75.09900221404452
2026-04-30 01:15:00,111.15222129496534,121.15243898537052,111.15222129496534,2321.546095721924,0.0,824.2608408113,61.57947203506429,0.0,21.863682780140582,32.771934067365464,75.09900221404452
2026-04-30 01:30:00,110.71114576305547,119.22163096201692,110.71114576305547,2300.0287517208503,0.0,821.4059546775616,61.00872020479709,0.0,21.787956357495002,32.771934067365464,75.09900221404452
2026-04-30 01:45:00,108.81335744458539,119.02958185419435,108.81335744458539,2274.417012404733,0.0,817.8632193323529,60.32936372426348,0.0,21.693984597675144,32.771934067365464,75.09900221404452
2026-04-30 02:00:00,109.01468425945151,119.01871278288075,109.01468425945151,2287.6852358121714,0.0,799.329756942406,62.165359668809,0.0,21.720917308217555,32.771934067365464,75.09900221404452
2026-04-30 02:15:00,108.3684457917409,116.75701715166761,108.3684457917409,2266.036065074758,0.0,798.1704233305808,61.57706698572712,0.0,21.689413677461435,32.771934067365464,75.09900221404452
2026-04-30 02:30:00,108.75281682971728,119.01066666234806,108.75281682971728,2243.409085159895,0.0,797.227692742444,60.9622034010841,0.0,21.66379599843598,32.771934067365464,75.09900221404452
2026-04-30 02:45:00,108.35655397784782,118.30338766550373,108.35655397784782,2219.846898583401,0.0,796.4841475531202,60.32192659194025,0.0,21.643590966117397,32.771934067365464,75.09900221404452
2026-04-30 03:00:00,108.38508703968388,114.82572481896342,108.38508703968388,2256.8310400602813,20.07204552307553,762.7570406297075,61.830987398911816,0.5499190554267268,20.89745316793719,32.771934067365464,75.09900221404452
2026-04-30 03:15:00,108.10299206723474,114.87867109063035,108.10299206723474,2234.5566076549485,12.188667193420315,763.3071415979829,61.22072897684791,0.33393608749096754,20.912524427341996,32.771934067365464,75.09900221404452
2026-04-30 03:30:00,106.79320257685625,114.32296081811208,106.79320257685625,2214.512530447562,4.881195489994752,764.9502354696597,60.67157617664553,0.13373138328752746,20.957540697798894,32.771934067365464,75.09900221404452
2026-04-30 03:45:00,106.28255386386985,112.23168775877856,106.28255386386985,2196.7561680204453,0.0,767.6659751946725,60.185100493710834,0.0,21.03194452588144,32.771934067365464,75.09900221404452
2026-04-30 04:00:00,110.96541816641279,118.79711600426248,110.96541816641279,2249.4548113498436,71.52785056851758,732.6168666481666,60.632205157677724,1.9279744088549213,19.74708535439802,32.771934067365464,75.09900221404452
2026-04-30 04:15:00,110.23368573950177,118.69605873352133,110.23368573950177,2233.4436070690404,65.41641777494874,736.4639985323126,60.20063630913855,1.7632457621279984,19.850781631598725,32.771934067365464,75.09900221404452
2026-04-30 04:30:00,111.60040408989599,119.92464744786946,111.60040408989599,2222.924363309812,59.95289090279243,742.2708271975133,59.91709874150437,1.6159808868677206,20.007299924461275,32.771934067365464,75.09900221404452
2026-04-30 04:45:00,115.40259374195824,125.20770301853973,115.40259374195824,2211.936206295823,54.57326323982852,748.1137392522395,59.62092200258283,1.4709774458174802,20.164790815424244,32.771934067365464,75.09900221404452
2026-04-30 05:00:00,114.7206633558499,121.47751971210745,114.7206633558499,2282.561608642227,130.39604610100992,734.3533425233102,58.52722073441607,3.343488361564357,18.82957288521308,32.771934067365464,75.09900221404452
2026-04-30 05:15:00,116.67311901073018,124.91806290762243,116.67311901073018,2279.891601539598,125.8113002313803,743.0548134249361,58.458759013835845,3.2259307751635973,19.052687523716312,32.771934067365464,75.09900221404452
2026-04-30 05:30:00,122.03506618506756,128.3493324033701,122.03506618506756,2279.982682722374,121.42181583673141,752.6770106701845,58.46109442877882,3.1133798932495234,19.29941053000473,32.771934067365464,75.09900221404452
2026-04-30 05:45:00,125.21932446217951,132.52587089911174,125.21932446217951,2288.938341207593,117.69466161595551,765.099716886006,58.69072669763059,3.0178118363065516,19.61794145861554,32.771934067365464,75.09900221404452
2026-04-30 06:00:00,133.15423424683044,132.3226481582856,133.15423424683044,2125.318185623477,140.9899068770303,1246.1411339929866,49.19718022276567,3.2636552517831086,28.845859583170984,32.771934067365464,75.09900221404452
2026-04-30 06:15:00,135.488822029914,135.18593459717172,135.488822029914,2137.1562625936062,137.15476703245463,1259.3457115879808,49.47120978225941,3.174878866492005,29.15152110157363,32.771934067365464,75.09900221404452
2026-04-30 06:30:00,128.3273944346971,134.2965936265062,128.3273944346971,2149.0418279783694,133.06650711223983,1272.4340987684707,49.7463386106104,3.080243220190737,29.454493027047935,32.771934067365464,75.09900221404452
2026-04-30 06:45:00,129.67028128503674,137.0303236889383,129.67028128503674,2161.050418443174,128.67969262447536,1285.385798814116,50.02431524174014,2.9786965885295222,29.754300898474906,32.771934067365464,75.09900221404452
2026-04-30 07:00:00,115.55090310995288,127.09320968557756,115.55090310995288,1489.4692926420812,143.1048942237935,2510.0139041000166,30.774158938885975,2.9567126905742462,51.859791407025135,32.771934067365464,75.09900221404452
2026-04-30 07:15:00,109.56323776449712,109.93574210895343,109.56323776449712,1495.9190333459474,137.474340725008,2520.7314427057163,30.907418044337756,2.840378940599339,52.08122815507678,32.771934067365464,75.09900221404452
2026-04-30 07:30:00,108.03659077283531,101.44447811028252,108.03659077283531,1502.713967068907,131.4173499693602,2531.254654090575,31.047809236960894,2.7152345034991776,52.298649877904445,32.771934067365464,75.09900221404452
2026-04-30 07:45:00,94.62464073055366,88.5295987375697,94.62464073055366,1503.8965304258206,124.379080559675,2539.664159004581,31.07224236416985,2.569815714042872,52.4723999794335,32.771934067365464,75.09900221404452
2026-04-30 08:00:00,81.27814333027221,62.23960557508258,81.27814333027221,879.0172479016769,1346.711899133714,2379.5727217613385,16.807213152995732,25.74974950542474,45.498522404614505,32.771934067365464,75.09900221404452
2026-04-30 08:15:00,77.8596679517838,60.723715082843924,77.8596679517838,875.2112699349348,1338.1172007623416,2385.6072728113504,16.73444110774254,25.58541492853426,45.61390578989198,32.771934067365464,75.09900221404452
2026-04-30 08:30:00,58.70853088308646,50.07481874882969,58.70853088308646,865.9955837935336,1328.4361796381336,2389.4808793790344,16.558232959723394,25.400309362105805,45.68797092502934,32.771934067365464,75.09900221404452
2026-04-30 08:45:00,43.67721303057445,36.994765356249154,43.67721303057445,857.4618965961313,1318.1541476249056,2393.0816534949004,16.395064944476697,25.203712191680793,45.75681937848758,32.771934067365464,75.09900221404452
2026-04-30 09:00:00,30.74076386944556,17.466043688649197,30.74076386944556,434.00166341873773,2784.948056325032,1684.9246230395586,7.992664151357969,51.28817783287352,31.029919392993712,32.771934067365464,75.09900221404452
2026-04-30 09:15:00,17.46271991410694,16.50750039481508,17.46271991410694,417.96429151173334,2772.6100195212307,1685.0910389652581,7.697316602426028,51.06095800223261,31.032984143006594,32.771934067365464,75.09900221404452
2026-04-30 09:30:00,12.144723659045098,9.481984288374996,12.144723659045098,405.79280463123223,2759.8537395564063,1685.901867461659,7.473163989525455,50.82603571927084,31.047916527839025,32.771934067365464,75.09900221404452
2026-04-30 09:45:00,8.09951889332207,8.160894129665916,8.09951889332207,394.522127439378,2746.4020450573644,1686.39760707188,7.265600873653369,50.578306538809656,31.05704617075285,32.771934067365464,75.09900221404452
2026-04-30 10:00:00,6.225005130354063,-4.300341091734019,6.225005130354063,215.08200018385696,3698.720731870817,1153.9346879920788,3.889367091932314,66.88464252930953,20.86681171775911,32.771934067365464,75.09900221404452
2026-04-30 10:15:00,3.019665108408489,-3.2518637477296286,3.019665108408489,205.74571363042014,3683.832119771307,1153.7797590151445,3.7205373170057894,66.61540903745583,20.864010108772955,32.771934067365464,75.09900221404452
2026-04-30 10:30:00,1.8784652343548345,-4.420040178816402,1.8784652343548345,194.42018393685612,3667.9503430527698,1152.341174832962,3.5157356950606893,66.32821596840452,20.83799592826333,32.771934067365464,75.09900221404452
2026-04-30 10:45:00,-0.0999172090575513,-5.081466875944097,-0.0999172090575513,187.16742671717475,3651.5839541606397,1151.5175798841776,3.384582761612563,66.03225956890849,20.82310271038296,32.771934067365464,75.09900221404452
2026-04-30 11:00:00,-0.4706336369499695,0.9208986247590006,-0.4706336369499695,234.1586886488367,4128.9140998262565,780.046446546587,4.159124132306158,73.33772823847703,13.855176670454478,32.771934067365464,75.09900221404452
2026-04-30 11:15:00,-1.3100216388102837,0.5609165210590829,-1.3100216388102837,226.08840896147512,4110.796545465451,777.5967675343692,4.015779910505775,73.01592443100269,13.811665497946166,32.771934067365464,75.09900221404452
2026-04-30 11:30:00,-5.422452761187898,0.41600413687037574,-5.422452761187898,216.13296709526094,4091.6766472215527,773.8597683979103,3.83895145817515,72.67631700215901,13.745288959110308,32.771934067365464,75.09900221404452
2026-04-30 11:45:00,-6.622374716009304,-1.6699962131019626,-6.622374716009304,204.30652154715017,4071.560090362479,768.8381404713735,3.6288902583863267,72.31900693361419,13.65609485739562,32.771934067365464,75.09900221404452
2026-04-30 12:00:00,2.569196433015449,2.544971978937391,2.569196433015449,451.45685797041006,4152.91893598035,524.810515357382,7.976269575448941,73.37312607739135,9.272270589353038,32.771934067365464,75.09900221404452
