"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"29/04/2026 00:00 - 29/04/2026 00:15","BZN|GR","4198.00","4000.00"
"29/04/2026 00:15 - 29/04/2026 00:30","BZN|GR","4219.00","3990.00"
"29/04/2026 00:30 - 29/04/2026 00:45","BZN|GR","4166.00","3960.00"
"29/04/2026 00:45 - 29/04/2026 01:00","BZN|GR","4035.00","3930.00"
"29/04/2026 01:00 - 29/04/2026 01:15","BZN|GR","4041.00","3890.00"
"29/04/2026 01:15 - 29/04/2026 01:30","BZN|GR","4067.00","3860.00"
"29/04/2026 01:30 - 29/04/2026 01:45","BZN|GR","4082.00","3830.00"
"29/04/2026 01:45 - 29/04/2026 02:00","BZN|GR","4004.00","3820.00"
"29/04/2026 02:00 - 29/04/2026 02:15","BZN|GR","3924.00","3820.00"
"29/04/2026 02:15 - 29/04/2026 02:30","BZN|GR","3993.00","3820.00"
"29/04/2026 02:30 - 29/04/2026 02:45","BZN|GR","3988.00","3810.00"
"29/04/2026 02:45 - 29/04/2026 03:00","BZN|GR","3964.00","3800.00"
"29/04/2026 03:00 - 29/04/2026 03:15","BZN|GR","3928.00","3780.00"
"29/04/2026 03:15 - 29/04/2026 03:30","BZN|GR","3951.00","3770.00"
"29/04/2026 03:30 - 29/04/2026 03:45","BZN|GR","3996.00","3780.00"
"29/04/2026 03:45 - 29/04/2026 04:00","BZN|GR","4024.00","3790.00"
"29/04/2026 04:00 - 29/04/2026 04:15","BZN|GR","4005.00","3820.00"
"29/04/2026 04:15 - 29/04/2026 04:30","BZN|GR","4004.00","3860.00"
"29/04/2026 04:30 - 29/04/2026 04:45","BZN|GR","4142.00","3910.00"
"29/04/2026 04:45 - 29/04/2026 05:00","BZN|GR","4153.00","3980.00"
"29/04/2026 05:00 - 29/04/2026 05:15","BZN|GR","4272.00","4060.00"
"29/04/2026 05:15 - 29/04/2026 05:30","BZN|GR","4355.00","4140.00"
"29/04/2026 05:30 - 29/04/2026 05:45","BZN|GR","4440.00","4220.00"
"29/04/2026 05:45 - 29/04/2026 06:00","BZN|GR","4526.00","4330.00"
"29/04/2026 06:00 - 29/04/2026 06:15","BZN|GR","4572.00","4470.00"
"29/04/2026 06:15 - 29/04/2026 06:30","BZN|GR","4782.00","4610.00"
"29/04/2026 06:30 - 29/04/2026 06:45","BZN|GR","4948.00","4740.00"
"29/04/2026 06:45 - 29/04/2026 07:00","BZN|GR","5026.00","4860.00"
"29/04/2026 07:00 - 29/04/2026 07:15","BZN|GR","5052.00","4950.00"
"29/04/2026 07:15 - 29/04/2026 07:30","BZN|GR","5121.00","5050.00"
"29/04/2026 07:30 - 29/04/2026 07:45","BZN|GR","5145.00","5140.00"
"29/04/2026 07:45 - 29/04/2026 08:00","BZN|GR","5099.00","5220.00"
"29/04/2026 08:00 - 29/04/2026 08:15","BZN|GR","5238.00","5290.00"
"29/04/2026 08:15 - 29/04/2026 08:30","BZN|GR","5254.00","5350.00"
"29/04/2026 08:30 - 29/04/2026 08:45","BZN|GR","5245.00","5390.00"
"29/04/2026 08:45 - 29/04/2026 09:00","BZN|GR","5261.00","5430.00"
"29/04/2026 09:00 - 29/04/2026 09:15","BZN|GR","5599.00","5450.00"
"29/04/2026 09:15 - 29/04/2026 09:30","BZN|GR","5809.00","5480.00"
"29/04/2026 09:30 - 29/04/2026 09:45","BZN|GR","5844.00","5500.00"
"29/04/2026 09:45 - 29/04/2026 10:00","BZN|GR","5842.00","5520.00"
"29/04/2026 10:00 - 29/04/2026 10:15","BZN|GR","6093.00","5530.00"
"29/04/2026 10:15 - 29/04/2026 10:30","BZN|GR","6214.00","5560.00"
"29/04/2026 10:30 - 29/04/2026 10:45","BZN|GR","6244.00","5560.00"
"29/04/2026 10:45 - 29/04/2026 11:00","BZN|GR","6371.00","5580.00"
"29/04/2026 11:00 - 29/04/2026 11:15","BZN|GR","6367.00","5590.00"
"29/04/2026 11:15 - 29/04/2026 11:30","BZN|GR","6421.00","5600.00"
"29/04/2026 11:30 - 29/04/2026 11:45","BZN|GR","6459.00","5610.00"
