"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"29/04/2026 11:45 - 29/04/2026 12:00","BZN|GR","6481.00","5610.00"
"29/04/2026 12:00 - 29/04/2026 12:15","BZN|GR","6422.00","5610.00"
"29/04/2026 12:15 - 29/04/2026 12:30","BZN|GR","6268.00","5600.00"
"29/04/2026 12:30 - 29/04/2026 12:45","BZN|GR","6183.00","5570.00"
"29/04/2026 12:45 - 29/04/2026 13:00","BZN|GR","-","5520.00"
"29/04/2026 13:00 - 29/04/2026 13:15","BZN|GR","-","5460.00"
"29/04/2026 13:15 - 29/04/2026 13:30","BZN|GR","-","5400.00"
"29/04/2026 13:30 - 29/04/2026 13:45","BZN|GR","-","5340.00"
"29/04/2026 13:45 - 29/04/2026 14:00","BZN|GR","-","5270.00"
"29/04/2026 14:00 - 29/04/2026 14:15","BZN|GR","-","5200.00"
"29/04/2026 14:15 - 29/04/2026 14:30","BZN|GR","-","5140.00"
"29/04/2026 14:30 - 29/04/2026 14:45","BZN|GR","-","5080.00"
"29/04/2026 14:45 - 29/04/2026 15:00","BZN|GR","-","5030.00"
"29/04/2026 15:00 - 29/04/2026 15:15","BZN|GR","-","4990.00"
"29/04/2026 15:15 - 29/04/2026 15:30","BZN|GR","-","4950.00"
"29/04/2026 15:30 - 29/04/2026 15:45","BZN|GR","-","4930.00"
"29/04/2026 15:45 - 29/04/2026 16:00","BZN|GR","-","4920.00"
"29/04/2026 16:00 - 29/04/2026 16:15","BZN|GR","-","4920.00"
"29/04/2026 16:15 - 29/04/2026 16:30","BZN|GR","-","4930.00"
"29/04/2026 16:30 - 29/04/2026 16:45","BZN|GR","-","4930.00"
"29/04/2026 16:45 - 29/04/2026 17:00","BZN|GR","-","4940.00"
"29/04/2026 17:00 - 29/04/2026 17:15","BZN|GR","-","4950.00"
"29/04/2026 17:15 - 29/04/2026 17:30","BZN|GR","-","4980.00"
"29/04/2026 17:30 - 29/04/2026 17:45","BZN|GR","-","5000.00"
"29/04/2026 17:45 - 29/04/2026 18:00","BZN|GR","-","5040.00"
"29/04/2026 18:00 - 29/04/2026 18:15","BZN|GR","-","5090.00"
"29/04/2026 18:15 - 29/04/2026 18:30","BZN|GR","-","5160.00"
"29/04/2026 18:30 - 29/04/2026 18:45","BZN|GR","-","5240.00"
"29/04/2026 18:45 - 29/04/2026 19:00","BZN|GR","-","5340.00"
"29/04/2026 19:00 - 29/04/2026 19:15","BZN|GR","-","5460.00"
"29/04/2026 19:15 - 29/04/2026 19:30","BZN|GR","-","5580.00"
"29/04/2026 19:30 - 29/04/2026 19:45","BZN|GR","-","5680.00"
"29/04/2026 19:45 - 29/04/2026 20:00","BZN|GR","-","5680.00"
"29/04/2026 20:00 - 29/04/2026 20:15","BZN|GR","-","5680.00"
"29/04/2026 20:15 - 29/04/2026 20:30","BZN|GR","-","5640.00"
"29/04/2026 20:30 - 29/04/2026 20:45","BZN|GR","-","5550.00"
"29/04/2026 20:45 - 29/04/2026 21:00","BZN|GR","-","5420.00"
"29/04/2026 21:00 - 29/04/2026 21:15","BZN|GR","-","5240.00"
"29/04/2026 21:15 - 29/04/2026 21:30","BZN|GR","-","5090.00"
"29/04/2026 21:30 - 29/04/2026 21:45","BZN|GR","-","4960.00"
"29/04/2026 21:45 - 29/04/2026 22:00","BZN|GR","-","4860.00"
"29/04/2026 22:00 - 29/04/2026 22:15","BZN|GR","-","4780.00"
"29/04/2026 22:15 - 29/04/2026 22:30","BZN|GR","-","4690.00"
"29/04/2026 22:30 - 29/04/2026 22:45","BZN|GR","-","4590.00"
"29/04/2026 22:45 - 29/04/2026 23:00","BZN|GR","-","4480.00"
"29/04/2026 23:00 - 29/04/2026 23:15","BZN|GR","-","4360.00"
"29/04/2026 23:15 - 29/04/2026 23:30","BZN|GR","-","4260.00"
"29/04/2026 23:30 - 29/04/2026 23:45","BZN|GR","-","4170.00"
"29/04/2026 23:45 - 30/04/2026 00:00","BZN|GR","-","4090.00"
