"MTU","Out Area","In Area","Physical Flow (MW)"
"29/04/2026 05:00:00 - 29/04/2026 06:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 05:00:00 - 29/04/2026 06:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 05:00:00 - 29/04/2026 06:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 05:00:00 - 29/04/2026 06:00:00","Greece (GR)","North Macedonia (MK)","116.00"
"29/04/2026 05:00:00 - 29/04/2026 06:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 05:00:00 - 29/04/2026 06:00:00","Greece (GR)","Turkey (TR)","0.00"
"29/04/2026 05:00:00 - 29/04/2026 06:00:00","Turkey (TR)","Greece (GR)","10.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Albania (AL)","Greece (GR)","47.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Greece (GR)","Bulgaria (BG)","188.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Greece (GR)","North Macedonia (MK)","347.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Greece (GR)","Turkey (TR)","3.00"
"29/04/2026 06:00:00 - 29/04/2026 07:00:00","Turkey (TR)","Greece (GR)","0.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Albania (AL)","Greece (GR)","32.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Greece (GR)","Bulgaria (BG)","203.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Greece (GR)","North Macedonia (MK)","574.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Greece (GR)","Turkey (TR)","5.00"
"29/04/2026 07:00:00 - 29/04/2026 08:00:00","Turkey (TR)","Greece (GR)","0.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Albania (AL)","Greece (GR)","17.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Greece (GR)","Bulgaria (BG)","326.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Greece (GR)","North Macedonia (MK)","793.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Greece (GR)","Turkey (TR)","56.00"
"29/04/2026 08:00:00 - 29/04/2026 09:00:00","Turkey (TR)","Greece (GR)","0.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Albania (AL)","Greece (GR)","16.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Greece (GR)","Bulgaria (BG)","320.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Greece (GR)","North Macedonia (MK)","756.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Greece (GR)","Turkey (TR)","100.00"
"29/04/2026 09:00:00 - 29/04/2026 10:00:00","Turkey (TR)","Greece (GR)","0.00"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Greece (GR)","Albania (AL)","N/A"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Albania (AL)","Greece (GR)","N/A"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Greece (GR)","Bulgaria (BG)","324.72"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 10:00:00 - 29/04/2026 11:00:00","Greece (GR)","North Macedonia (MK)","N/A"
